Rank	Team	Score
975	d_nishiyama85	0.89271
976	karfly	0.89171
977	YuZhou	0.89029
978	Ivan Medyansky	0.88886
979	GentRich	0.88571
980	einstalek	0.88429
981	MeetThakkar	0.88429
982	wttc	0.88243
983	MilanBala	0.88214
984	vincent 3	0.88186
985	Стасюк Тарас (ШАД)	0.88086
986	Yongyuan Deng	0.88057
987	ballon	0.87943
988	YiGuo	0.87729
989	SwapnilBorse	0.87586
990	sirinthra.cc	0.87486
991	Oui.P	0.87457
992	herrerik	0.87214
993	FredR	0.87129
994	iau-tnb-ai	0.86886
995	Vandit Jain	0.86814
996	Kira Huselius Gylling	0.86200
997	frosty	0.86129
998	sokoun	0.86000
999	Samirah	0.85943
1000	Janis Rumnieks	0.85900
1001	data2life	0.85829
1002	zizhazhu	0.85629
1003	guillaumeD	0.85471
1004	haliou	0.85386
1005	AnubhavAgarwal	0.85314
1006	xiaoxiao	0.84271
1007	Praveen	0.84243
1008	Peter 5	0.83614
1009	Pulikodan	0.83600
1010	LostPhoenix	0.83529
1011	rimmyjain	0.83143
1012	ryuchihoon	0.83114
1013	МөнхбаатарЭнхбаатар	0.81600
1014	MarvelousMangos	0.80614
1015	scripta	0.80614
1016	articulate	0.80614
1017	nregner	0.79329
1018	UgmeshSirvi	0.78500
1019	Rohit Narain	0.75857
1020	sayseikohan	0.75671
1021	Cody Dean	0.74300
1022	fgrzeszc	0.73600
1023	craigmk	0.69757
1024	whitecastle	0.67000
1025	uomcse_efinix	0.65586
1026	МихаилМаксимов	0.63929
1027	JamesHahn	0.55343
1028	Antonio 2	0.54357
1029	SanjayYadav	0.45543
1030	bloodynacho	0.41086
1031	Sylvain	0.35000
1032	DanAlexandru	0.30943
1033	Matthew Mok	0.30157
1034	lopolko	0.26100
1035	Megan Yin	0.11614
1036	Narendra Prasad Karumanchi	0.11614
1037	ranggaugahari	0.11157
1038	Narendra Prasad K	0.10214
1039	紅毛紅毛	0.10014
1040	mistakk	0.10014
1041	GayathryDasika	0.10014
1042	nubilum	0.10014
1043	shaohuacheng	0.10014
1044	Vayne-Lover	0.10014
1045	MontiChandra	0.10014
1046	hsrkrishna	0.09829
1047	ArvindShukla	0.09757
1048	hoshi524	0.09743
1049	Achraf BENLEMKADDEM	0.07457
